년도,사고건수,사망자수,부상자수
1970년,"37,243건","3,069명","42,830명"
1975년,"58,323건","3,800명","61,092명"
1980년,"120,182건","5,608명","111,641명"
1985년,"146,836건","7,522명","184,420명"
1990년,"255,303건","12,325명","324,229명"
1995년,"248,865건","10,323명","331,747명"
2000년,"290,481건","10,236명","426,984명"
2005년,"214,171건","6,376명","342,233명"
2010년,"226,878건","5,505명","352,458명"
2011년,"221,711건","5,229명","341,391명"
2012년,"223,656건","5,392명","344,565명"
2013년,"215,354건","5,092명","328,711명"
2014년,"223,552건","4,762명","337,497명"
2015년,"232,035건","4,621명","350,400명"
2016년,"220,917건","4,292명","331,720명"
2017년,"216,335건","4,185명","322,829명"
2018년,"217,148건","3,781명","323,036명"
