기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 인천
기간 : 20200807~20200905

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-08-07,112,23.7,22,25.3
2020-08-08,112,24,23.1,25.9
2020-08-09,112,24.6,23.9,25.5
2020-08-10,112,25.8,24.2,27.4
2020-08-11,112,23.8,21.8,24.9
2020-08-12,112,26.4,23.3,29.4
2020-08-13,112,27,26,29.3
2020-08-14,112,25.9,25.3,26.7
2020-08-15,112,25.2,24.4,26.1
2020-08-16,112,26.2,24.8,28.6
2020-08-17,112,26.8,25,29.5
2020-08-18,112,26.1,24,29.2
2020-08-19,112,26.1,23.6,29.2
2020-08-20,112,26.6,24.5,29.7
2020-08-21,112,26.1,24.3,28.7
2020-08-22,112,25.2,23.4,29
2020-08-23,112,25.4,22.8,28.3
2020-08-24,112,27.2,24.1,29.8
2020-08-25,112,29,26.2,32.2
2020-08-26,112,30,27,33.9
2020-08-27,112,26,24.7,27.7
2020-08-28,112,26.6,25.5,28.7
2020-08-29,112,26.6,25.4,28.5
2020-08-30,112,26.1,24.6,29
2020-08-31,112,26.9,24.4,30.1
2020-09-01,112,26.1,24,29.9
2020-09-02,112,24.2,21.9,25.6
2020-09-03,112,22.4,20,24.9
2020-09-04,112,22.9,20.1,25.6
2020-09-05,112,23.5,20.3,27.1

